capture_id,entrance_id,image_sha256,depth_sha256,sidecar_sha256,split
E-006-3247,E-006,690ab15cc07f7aec56a66a5214ac22d49a1d680eef3224014ce10707caa0df0e,,e175a197348eb7007bb13046e1334d270edd80e415c3b11184036875f652e617,sealed
E-006-3248,E-006,5716b93ff4762f32b46083a66cab6c22d18cbc9a63b5c02e6ddc463bf0b325fa,,11d0f5ee9139881771fcb82fa88a6e961a20ef44c55dd54989be4e4f81fa67d1,sealed
E-006-3249,E-006,e42455d0691478ae1d3097451719c507396918bc3ae897885c290ccc8fac9513,,b2d4d886869b346c02e966c46ccd74535c5f238ca3e1dbee2b25c609e620c8fa,sealed
E-006-3251,E-006,9edc68674be4b2b9474120e6ee576f49ee5cf0c7d1deff4f0d16d971aaa2bb40,,bfd581581cf80aa91b8ad86a4142e9c849c4672605f891659e48eae948a6fa2a,sealed
E-006-3252,E-006,1b93655ab49c679104cabe2d9ddac721670b8f27887a58799cde78a0b2adb7ef,,0eb25130ca9ea035c3a66df9a92cd3ebd58630339a647eaf5763db3c8d5c4e79,sealed
E-006-3253,E-006,743e5023d628672e008815048e097b7d197f5862b597432e9f1ebc50e76d7266,,97b1f6730ab69ad7a3da3e2299939035f4c27aaeee1cbb1a0ed992380e842909,sealed
E-007-3254,E-007,226646a7f8b0bfba62086e52241378634fadd2fbbbc85414cd282a1293c230ec,,9e9088545f1f30b1048573b84459e7d32dbd86632d93f9ff108f1c97c4b36d3e,dev
E-007-3255,E-007,0faae7013274d21559bbd57dcba1dc748f7458126d525570763c95fa38209be5,,8543b8a4f841f32794be8062ce87c5fbb19fa7cb4951e27ea2a3f88e170989cb,dev
E-007-3256,E-007,bf91b9a2ddb53bdc3f02bde1437d380c2fc87fdc7759c7581b1ad4f77f3f1373,,01b36a82f603eb42b8cb37adeaf8a00632f3287ba07f8c3b7e0ceb5518764a23,dev
E-007-3257,E-007,07999f5cd1699dc8245e1c9db61440da8faae1c18add87fcabe87e408c812f6f,,1151855ed153b4c756dfa1c9929aeb912e26942a8c413fc7f843397895b20907,dev
E-008-3259,E-008,5c074a0893df7c54b0317a4096fa4400d11ce97e806ff33d774f8023d0d9c96b,,61427b2c13a3b160031564800341d54d515dfad93d35037ac4ef6f26ad30d914,calib
E-008-3260,E-008,0dc278370fade1dbd53414dc378dd7a36c34744367d4e9e4e5e26e3d249db032,,ff7d5672a85942da5b384f330fa02480ee68eba733502a5cdfc81ee422e854b1,calib
E-008-3263,E-008,08b5c213f55ce51411b74373f6fae22c7e60cb2a6332c4beb6f03264b4ffa329,,00a523244bb99ff73804234e01fcb11053e6c992930c73b3b8ca5d78dd807e89,calib
E-008-3264,E-008,6bcd71191393c2c4fc4e395855c5bd2fd22c44c4d115b023cc0d29b15abc03b0,,8097640e2233e40684f6d3c4296acf21a4683b31a6ab492216e3f1374b5257cc,calib
E-008-3265,E-008,bbd7f3e1bf8a76a805aa38f1f4e11b48521e1808e58edef43fcf51dccbae4034,,65c2430a70947dd9e4714f1be01324dbba7ebbfaaf3b82512ac8706e1b1152bc,calib
E-009-3266,E-009,926833b7dd867909f981dca0051ecb3ccd6f13fb687fc50e86469a19a0f8d8ba,,0789aa5c5fd2d9c3890145c87bf3fa37dcef6b283ba3de2981a0437effc4ceb5,dev
E-009-3267,E-009,dd6947f386d1ef2a546fd7e780a3696c20d1624284cf15b84b7f7fb0f0b88517,,8a283c9b5f9f5bc06cb4d14e8f2ce4996b9edfee410ce6b418317a6aeed895a7,dev
E-009-3268,E-009,c58e73226e9387b66a60888e2ed754ae6db06cff421ebcb00b779e5935dce776,,a747a5c5c3ffd9846aa7e503a6dd8b5a571f862abdccf3603e4e1c5474b58c54,dev
E-010-3269,E-010,54f54486e8b228540895d08cc6dbe3fc4d1dfa480791e4d956e2832507917afa,,cae6bee26aa45f95f8ff45a57c07021d7ba565072e9e7224ac0eca71fadea8bd,dev
E-010-3270,E-010,1445afeb00c9bea1d3e2514a91e27abaa93285d0651dcdba44925ccf2fe4b32e,,4d77db01c8a046b7c566fdfa670065978bfaf3b7400533da023de3b4f58bba44,dev
E-010-3273,E-010,600116afc3880c1922b467dce1826d62501f8c51f32796f4e135895b897e8c9d,,7be890b90b1f408f827d6f3dcef5d7b6be1472d5cc48c485610ff01b6c951b93,dev
E-011-3274,E-011,055f920755b02a80393ad660a08aa3cc893979b909458b945f8ad037abf1ce77,,acdf3d56411fa86715c288a2cd29e25a477a487acb8a8969b250fcec41423630,sealed
E-011-3275,E-011,a8f9e85464a06d6a53e7a9941cdc7495c86bba6476fa0b2c3927a9c3c4704431,,21654a051dfab6ade9b0a1752ed3e67dbe94cb56e6674143a456ab274b87ac6e,sealed
E-011-3278,E-011,aea71016b1c3f3b0593127b5ec0e3adb66c2b7f352c8977d85bb39bc6c09ec4f,,4fd24f39e47472af5881cf208687171f9f1265e94a0d022740f714cb6534e3ab,sealed
E-012-3279,E-012,1d68d61d67e894faca7d33a3ea154d344489af5ac9fcd66b0919a23a6f3f3f9f,,7117e2bf0e17588e97cdfe29ee2ca7605159c78c53a2b2dd9cd9411c9e5b03af,calib
E-012-3282,E-012,38dec751f00e1f96034cf6886d06f7bc22201b874db66f88332117be26a65ca1,,8d93652993450822b74c76cbc23db0740d9fa3c414e460c8d5541c51b3465bdd,calib
